GPS vareinace of 0.15


 1291.62  844.335  -0.9318 0.342152
2029.66 1329.43 73.1576 51.2917
2349.82 1544.59  51.507 39.4389
2397.77 1583.07 18.0494 20.7255
2400.25 1595.17 1.29819 12.1233
 2390.63  1604.16 -6.27608  8.80654
 2381.07  1610.11 -8.97816  9.44407
2370.74 1618.93 -9.6435 9.68741
 2358.87  1630.63 -8.76977  8.82661
 2350.76  1638.84 -9.19625  9.29583
 2341.77  1648.52 -8.36569  10.5945
 2334.61   1662.9 0.240062  13.1463
2337.65 1673.45 10.2788 9.70224
2347.57 1682.07 10.4992 9.08116
2359.98 1692.84 9.19229 8.16068
2370.44 1696.15 13.2509 1.47272
2383.86 1697.26 13.4905 1.36904
 2400.03   1698.8  11.0525 0.850363
 2408.84  1699.61  8.63201 0.753063
  2416.1  1700.45   6.1603 0.580691
    2422  1700.73  2.64671 0.213979
 2425.57  1701.15  4.63011 0.256339
2430.43 1703.97 4.10585 5.84097
2432.42 1713.95 -0.0283 9.52521
 2433.2 1722.89 1.16492 11.0823
2435.14 1734.62 1.81558 12.8656
2437.85 1751.36 2.13265 14.0672
 2438.94  1764.82 0.824688  16.0574
 2439.9 1780.77 1.16264 16.3204
 2441.4 1800.88  1.0825 14.8841
2442.31 1814.65 1.13396 15.7252
2443.59 1830.72 1.18907  16.223
2445.13 1850.69 1.08964 14.8054
2446.07 1864.47 1.14119 15.7224
2447.18 1880.26 1.17594 16.2471
 2448.6 1900.16 1.06606  14.726
2449.47 1914.07 1.12996 15.7613
  2450.37   1930.04 -0.370864   16.2932
 2449.17  1950.03 -1.55077  14.8235
 2447.85  1963.69 -1.39387  15.6847
  2446.6  1979.68 -1.34253  16.2812
  2444.8   1999.4 -1.21916  14.7751
 2443.77  2013.33 -1.26239   15.739
 2442.54  2029.48 -1.29042  16.1888
 2440.95  2049.05 -1.18967  14.8182
 2439.82  2063.05 -1.06437  15.6993
    2439  2079.07 -1.07415  16.3004
 2436.86  2100.05 -3.74441  16.3041
2428.46 2113.44 -13.379 14.1542
 2410.13  2121.35 -21.4496  4.37769
 2382.88  2120.45 -20.3616 -3.26066
 2364.38  2119.09  -21.236 -1.59295
 2343.05  2118.34 -21.7524 -1.00271
  2316.38   2117.81  -19.8271 -0.673046
  2298.07   2117.01  -20.9378 -0.727783
  2276.72   2116.31  -21.7149 -0.737138
  2249.85   2115.52  -19.8072 -0.654758
 2231.61  2113.53 -20.7927 -3.08814
 2210.95  2109.07 -20.5885 -7.04845
 2187.62  2101.53 -15.1198 -5.09287
 2174.79  2096.03 -12.1089 -7.37539
 2163.69  2089.35 -9.97872 -5.96601
 2153.28   2083.4 -5.62107 -3.30278
 2148.14  2080.48 -4.41313 -2.58521
 2144.38  2078.22 -2.82944 -1.66739
 2139.29  2075.37 -5.12833 -2.99947
 2134.96   2071.1 -5.30466 -5.72488
 2129.19  2064.91 -6.60962 -7.07773
 2120.14  2055.37 -7.58657 -8.08675
 2112.63  2047.29 -9.08689  -9.7033
 2102.93  2036.81 -10.5619 -11.2904
 2089.28   2022.2 -11.2722 -12.0415
 2078.42  2010.46  -12.873 -13.7597
 2065.01   1996.1 -14.3934 -15.3751
